draw,age,year,Na
76,2,2020,31580350
76,3,2020,22388460
76,4,2020,11913240
76,5,2020,5727182
76,6,2020,2563375
76,7,2020,5165955
77,0,2020,32199920
77,1,2020,38673670
77,2,2020,33108830
77,3,2020,25057250
77,4,2020,11823420
77,5,2020,5162610
77,6,2020,2866236
77,7,2020,4774700
78,0,2020,50381200
78,1,2020,36220100
78,2,2020,32784800
78,3,2020,18160900
78,4,2020,8286320
78,5,2020,3992840
78,6,2020,3422220
78,7,2020,3675890
79,0,2020,46759340
79,1,2020,36829620
79,2,2020,30351440
79,3,2020,23811480
79,4,2020,10137860
79,5,2020,4537766
79,6,2020,2372824
79,7,2020,4754468
80,0,2020,42786840
80,1,2020,37113240
80,2,2020,26949110
80,3,2020,21737060
80,4,2020,10552070
80,5,2020,5008588
80,6,2020,2343073
80,7,2020,4050772
81,0,2020,49308400
81,1,2020,33859700
81,2,2020,36579300
81,3,2020,17585800
81,4,2020,7925610
81,5,2020,3723670
81,6,2020,3333240
81,7,2020,3486610
82,0,2020,51811300
82,1,2020,43306800
82,2,2020,36110700
82,3,2020,20141500
82,4,2020,8876980
82,5,2020,4201800
82,6,2020,3587530
82,7,2020,4334310
83,0,2020,49952600
83,1,2020,35420500
83,2,2020,35394400
83,3,2020,17670600
83,4,2020,7723150
83,5,2020,3441110
83,6,2020,2897110
83,7,2020,3088870
84,0,2020,49333900
84,1,2020,36346000
84,2,2020,30688500
84,3,2020,15061300
84,4,2020,7725000
84,5,2020,3780620
84,6,2020,3038060
84,7,2020,3415640
85,0,2020,51078700
85,1,2020,35679700
85,2,2020,35117600
85,3,2020,21156000
85,4,2020,9746470
85,5,2020,4771330
85,6,2020,3742700
85,7,2020,4552520
86,0,2020,49542700
86,1,2020,31542100
86,2,2020,28426200
86,3,2020,16107600
86,4,2020,7258170
86,5,2020,3286550
86,6,2020,2693530
86,7,2020,3511060
87,0,2020,57241210
87,1,2020,39057110
87,2,2020,29690070
87,3,2020,21402270
87,4,2020,8513183
87,5,2020,4082950
87,6,2020,1929819
87,7,2020,3559787
88,0,2020,50254400
88,1,2020,30014800
88,2,2020,33064500
88,3,2020,17314100
88,4,2020,7644130
88,5,2020,3721960
88,6,2020,3143740
88,7,2020,3761200
89,0,2020,50729500
89,1,2020,33662500
89,2,2020,38509200
89,3,2020,17136100
89,4,2020,7458850
89,5,2020,3738850
89,6,2020,3241490
89,7,2020,3768500
90,0,2020,34440830
90,1,2020,40140110
90,2,2020,29183550
90,3,2020,26229590
90,4,2020,10659490
90,5,2020,4451330
90,6,2020,2160731
90,7,2020,4288109
91,0,2020,50012600
91,1,2020,30907700
91,2,2020,27971000
91,3,2020,14943100
91,4,2020,7393220
91,5,2020,3525290
91,6,2020,3062490
91,7,2020,3276360
92,0,2020,49738000
92,1,2020,38049200
92,2,2020,34615300
92,3,2020,17054800
92,4,2020,7874890
92,5,2020,3680090
92,6,2020,2964650
92,7,2020,3526150
93,0,2020,32817870
93,1,2020,38041790
93,2,2020,22254790
93,3,2020,19678490
93,4,2020,8890770
