state,length,prob_star,nfish,tot_cat,q
MA,26,.0008448809967376,935305.1976304419,193.29103,.00020666092
MA,27,.0003911657258868,452822.1843937254,89.490501,.00019762835
MA,28,.0001644818985369,459087.6791513084,37.630005,.000081966922
MA,29,.0000691519016982,152524.5591830956,15.820503,.0001037243
MA,30,.000026988933314,62844.20945271384,6.1745009,.000098250915
MA,31,.0000112357365651,31422.10374600906,2.5705006,.00008180549
MA,32,3.70663474314e-06,10474.03458200302,.84800017,.000080962134
MD,6,.0157228676252998,1220918.52761507,9358.5342,.0076651587
MD,7,.0288617555052042,14648127.62233973,17179.037,.0011727804
MD,8,.0539328530430794,17700423.2045567,32101.805,.0018136179
MD,9,.0824811607599258,19526977.21773148,49094.273,.0025141768
MD,10,.1071178764104843,7319721.747608185,63758.488,.0087105073
MD,11,.1211341023445129,6807616.697880607,72101.195,.010591254
MD,12,.123322419822216,5129077.179595958,73403.727,.014311293
MD,13,.1138815805315971,7811528.498543594,67784.367,.0086774779
MD,14,.0975835025310516,10622623.2087824,58083.457,.0054679015
MD,15,.0775112137198448,19989510.44334469,46136.07,.0023080141
MD,16,.0584508813917637,10726731.03776815,34791.016,.003243394
MD,17,.0427165627479553,10062679.26104955,25425.668,.0025267294
MD,18,.0292360503226519,6038878.782835165,17401.824,.0028816317
MD,19,.0190860740840435,5666636.764179095,11360.375,.0020047827
MD,20,.0120010683313012,4624082.552009279,7143.252,.0015447934
MD,21,.0073419269174337,2222816.851014554,4370.0469,.0019659949
MD,22,.0042856116779149,2827079.242928998,2550.8733,.00090229989
MD,23,.0024619793985039,1938577.603260271,1465.4144,.00075592252
MD,24,.0013368793297559,1946071.29072395,795.73462,.00040889284
MD,25,.0007320109871216,898671.8199496812,435.70612,.00048483341
MD,26,.0004017408355139,935305.1976304419,239.12338,.00025566347
MD,27,.0002072651550407,452822.1843937254,123.36795,.00027244238
MD,28,.0001030683415593,459087.6791513084,61.348133,.00013363054
MD,29,.0000590574090893,152524.5591830956,35.152035,.00023046802
MD,30,.0000304691093334,62844.20945271384,18.135763,.00028858287
NC,6,.0157754019019194,1220918.52761507,218.6944,.00017912284
NC,7,.0289618950337172,14648127.62233973,401.49875,.000027409562
NC,8,.0541199818253517,17700423.2045567,750.26532,.000042386859
NC,9,.0827673375606537,19526977.21773148,1147.4036,.000058759917
NC,10,.1074895411729813,7319721.747608185,1490.1276,.00020357707
NC,11,.121554397046566,6807616.697880607,1685.1086,.00024753282
NC,12,.123750314116478,5129077.179595958,1715.5507,.00033447551
NC,13,.1142767146229744,7811528.498543594,1584.2181,.00020280514
NC,14,.0979220867156982,10622623.2087824,1357.4939,.00012779272
NC,15,.0777801498770714,19989510.44334469,1078.2662,.000053941603
NC,16,.058653686195612,10726731.03776815,813.11603,.000075802782
NC,17,.0416303910315037,10062679.26104955,577.12213,.000057352732
NC,18,.0284926556050777,6038878.782835165,394.99368,.000065408451
NC,19,.0186007656157017,5666636.764179095,257.86243,.000045505374
NC,20,.0116959130391479,4624082.552009279,162.14044,.00003506435
NC,21,.0071552409790456,2222816.851014554,99.193108,.000044624958
NC,22,.0041766399517655,2827079.242928998,57.900761,.000020480771
NC,23,.0023993775248528,1938577.603260271,33.262569,.000017158234
NC,24,.0013028859393671,1946071.29072395,18.061909,9.2812161e-06
NC,25,.0007133978651837,898671.8199496812,9.8898344,.000011004946
NC,26,.0003915256529581,935305.1976304419,5.4277201,5.8031542e-06
NC,27,.000201994960662,452822.1843937254,2.8002563,6.1840087e-06
NC,28,.0001004475925583,459087.6791513084,1.3925049,3.0332003e-06
NC,29,.0000575557351112,152524.5591830956,.79789513,5.2312566e-06
