draw,age,Year,Na
61,6,2021,3392380
61,7,2021,3849770
62,0,2021,50655600
62,1,2021,42280000
62,2,2021,33298000
62,3,2021,17790000
62,4,2021,7443610
62,5,2021,3883360
62,6,2021,3306060
62,7,2021,3894610
63,0,2021,31758250
63,1,2021,40680200
63,2,2021,27912540
63,3,2021,23387080
63,4,2021,10393930
63,5,2021,5672579
63,6,2021,2876007
63,7,2021,4607934
64,0,2021,38573990
64,1,2021,38818380
64,2,2021,24525030
64,3,2021,26982070
64,4,2021,12856740
64,5,2021,4726893
64,6,2021,2612676
64,7,2021,4666358
65,0,2021,57494700
65,1,2021,37892530
65,2,2021,21767030
65,3,2021,24538170
65,4,2021,11182390
65,5,2021,4567870
65,6,2021,2240154
65,7,2021,4103371
66,0,2021,29813860
66,1,2021,38713000
66,2,2021,31911670
66,3,2021,23001720
66,4,2021,10581700
66,5,2021,4899941
66,6,2021,2399463
66,7,2021,3870934
67,0,2021,42349100
67,1,2021,39140570
67,2,2021,26127000
67,3,2021,29387310
67,4,2021,12728430
67,5,2021,5449324
67,6,2021,2682712
67,7,2021,4707958
68,0,2021,31821030
68,1,2021,38489970
68,2,2021,21478500
68,3,2021,21218960
68,4,2021,10420580
68,5,2021,3862638
68,6,2021,2007544
68,7,2021,3829956
69,0,2021,28960400
69,1,2021,39254560
69,2,2021,30385040
69,3,2021,21913310
69,4,2021,10419670
69,5,2021,4975331
69,6,2021,2245147
69,7,2021,4095216
70,0,2021,50422500
70,1,2021,36836500
70,2,2021,32225600
70,3,2021,18024000
70,4,2021,8426950
70,5,2021,3818710
70,6,2021,3476230
70,7,2021,3739060
71,0,2021,49979800
71,1,2021,41194400
71,2,2021,29115200
71,3,2021,16247500
71,4,2021,7743140
71,5,2021,3705800
71,6,2021,3134310
71,7,2021,3161370
72,0,2021,49735500
72,1,2021,41851800
72,2,2021,33050400
72,3,2021,14189100
72,4,2021,7313820
72,5,2021,3896610
72,6,2021,3369970
72,7,2021,3629860
73,0,2021,30993280
73,1,2021,39550160
73,2,2021,26907910
73,3,2021,27510360
73,4,2021,12855980
73,5,2021,5069240
73,6,2021,2376046
73,7,2021,3901288
74,0,2021,49448200
74,1,2021,34871900
74,2,2021,34019500
74,3,2021,19122900
74,4,2021,8097110
74,5,2021,4108630
74,6,2021,3411590
74,7,2021,3952780
75,0,2021,49918600
75,1,2021,38218800
75,2,2021,31979600
75,3,2021,18865800
75,4,2021,9233490
75,5,2021,4054750
75,6,2021,3563570
75,7,2021,4022910
76,0,2021,31117350
76,1,2021,37660170
76,2,2021,27573140
76,3,2021,22825650
76,4,2021,9358255
76,5,2021,4529480
76,6,2021,1825571
76,7,2021,3727904
77,0,2021,41190540
77,1,2021,39505770
77,2,2021,35556880
77,3,2021,23316730
77,4,2021,9371430
77,5,2021,4113990
77,6,2021,1862237
77,7,2021,3695462
78,0,2021,50010300
78,1,2021,26727200
78,2,2021,33966700
78,3,2021,19574400
78,4,2021,8337140
78,5,2021,3541950
78,6,2021,3105530
78,7,2021,3782360
79,0,2021,33303510
79,1,2021,40489920
79,2,2021,34901010
79,3,2021,25194120
79,4,2021,12154030
79,5,2021,4606904
79,6,2021,2428291
79,7,2021,5142831
80,0,2021,32390680
80,1,2021,37168210
80,2,2021,27239600
80,3,2021,26575600
80,4,2021,12653150
80,5,2021,5385944
80,6,2021,2654124
80,7,2021,4736887
81,0,2021,32843540
81,1,2021,38210610
81,2,2021,24949530
81,3,2021,18980590
81,4,2021,10561370
81,5,2021,4929626
81,6,2021,2231512
81,7,2021,4766085
82,0,2021,49746500
82,1,2021,31246900
82,2,2021,35931500
82,3,2021,17118400
82,4,2021,8141120
82,5,2021,4247470
82,6,2021,3541730
82,7,2021,4319820
83,0,2021,50071800
83,1,2021,39861700
83,2,2021,32669400
83,3,2021,18346700
83,4,2021,7816300
83,5,2021,3606890
83,6,2021,3173610
83,7,2021,3924150
84,0,2021,41831280
84,1,2021,39115810
84,2,2021,32731560
84,3,2021,26890360
84,4,2021,11837280
84,5,2021,5249546
84,6,2021,2788434
84,7,2021,4574349
85,0,2021,35139960
85,1,2021,37850810
85,2,2021,29940860
85,3,2021,22486990
85,4,2021,11658290
85,5,2021,4258025
85,6,2021,2564704
85,7,2021,4446886
86,0,2021,50447700
86,1,2021,37999900
86,2,2021,34891100
86,3,2021,17604000
86,4,2021,7645920
86,5,2021,3859970
86,6,2021,3030450
86,7,2021,3257190
87,0,2021,50700400
87,1,2021,35276300
87,2,2021,34800900
87,3,2021,18494200
87,4,2021,8238120
87,5,2021,4192080
87,6,2021,3792140
87,7,2021,4141370
88,0,2021,49301000
88,1,2021,40128200
88,2,2021,36511900
88,3,2021,18016500
88,4,2021,8814880
88,5,2021,3957330
88,6,2021,3213480
88,7,2021,3931960
89,0,2021,49772100
89,1,2021,30599000
89,2,2021,29613300
89,3,2021,17045200
89,4,2021,7282900
89,5,2021,3558470
89,6,2021,3046980
89,7,2021,3555180
90,0,2021,50901200
90,1,2021,35653100
90,2,2021,34360200
90,3,2021,20046200
90,4,2021,8681490
90,5,2021,4213310
90,6,2021,3620260
90,7,2021,4007380
91,0,2021,50263900
91,1,2021,32397100
91,2,2021,37376400
91,3,2021,19006100
91,4,2021,8567540
91,5,2021,4368090
91,6,2021,3551110
91,7,2021,4422250
92,0,2021,51261800
92,1,2021,38642500
92,2,2021,41085400
92,3,2021,19991800
92,4,2021,10095900
92,5,2021,4153150
92,6,2021,3675350
92,7,2021,4341050
93,0,2021,51298500
93,1,2021,37664400
93,2,2021,38246100
93,3,2021,20576200
93,4,2021,8557310
93,5,2021,4700530
93,6,2021,3626070
93,7,2021,4582020
94,0,2021,50054000
94,1,2021,37905300
94,2,2021,30577300
94,3,2021,17261100
94,4,2021,7626700
94,5,2021,3907890
94,6,2021,3299340
94,7,2021,4202790
95,0,2021,50493100
95,1,2021,37127200
95,2,2021,34980200
95,3,2021,18225600
95,4,2021,9230530
95,5,2021,4124500
95,6,2021,3408830
95,7,2021,3526410
96,0,2021,50836300
96,1,2021,38359800
96,2,2021,32712100
96,3,2021,16008500
96,4,2021,9468500
96,5,2021,4658340
96,6,2021,3736410
96,7,2021,3996280
97,0,2021,49582900
97,1,2021,30844800
97,2,2021,35450200
97,3,2021,16069400
97,4,2021,8006160
97,5,2021,4128690
97,6,2021,3220110
97,7,2021,3758210
98,0,2021,39157890
98,1,2021,42368370
98,2,2021,26402440
98,3,2021,23896370
98,4,2021,13675990
98,5,2021,5823892
98,6,2021,2789703
98,7,2021,5926244
99,0,2021,34051710
99,1,2021,40502990
99,2,2021,28199040
99,3,2021,21895400
99,4,2021,12206120
99,5,2021,5157776
99,6,2021,2822160
99,7,2021,4577881
100,0,2021,50992300
100,1,2021,39053600
100,2,2021,36383500
100,3,2021,18374500
100,4,2021,8980100
100,5,2021,4279140
100,6,2021,3521110
100,7,2021,4373780
